date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622223;CONSOMMATION;CARTOL;2021-05-17T16:00:00+00:00;;18694;m3;CONSOMMATION GAZ 1;GDFA400;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T16:00:00+00:00;GDFA400-2021-05-17T16:00:00+00:00;18694;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;16;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622224;CONSOMMATION;CARTOL;2021-05-17T16:00:00+00:00;;2193;m3;CONSOMMATION GAZ 1;AEROTHERMES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T16:00:00+00:00;AEROTHERMES-2021-05-17T16:00:00+00:00;2193;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;16;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T16:00:00+00:00;;1236;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T16:00:00+00:00;ETUVE 180°C RALLONGE-2021-05-17T16:00:00+00:00;1236;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;16;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 10 MIN;12346609;AUTRES;CARTOL;2021-05-17T17:00:00+00:00;;24;°C;TEMPERATURE;SOUS LE PORCHE;Sous-compteur;Température;TEMPERATURE;2021-05-17T17:00:00+00:00;SOUS LE PORCHE-2021-05-17T17:00:00+00:00;20;;1000;;;;Hiver;2021-05;1;17;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622221;CONSOMMATION;CARTOL;2021-05-17T17:00:00+00:00;;28344;m3;CONSOMMATION GAZ 1;GDFA300;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T17:00:00+00:00;GDFA300-2021-05-17T17:00:00+00:00;28344;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;17;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622228;CONSOMMATION;CARTOL;2021-05-17T17:00:00+00:00;;2989;m3;CONSOMMATION GAZ 1;RETOUCHES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T17:00:00+00:00;RETOUCHES-2021-05-17T17:00:00+00:00;2989;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;17;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T17:00:00+00:00;;480;m3;CONSOMMATION GAZ 1;ETUVE 80°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T17:00:00+00:00;ETUVE 80°C RALLONGE-2021-05-17T17:00:00+00:00;480;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;17;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622206;CONSOMMATION;CARTOL;2021-05-17T18:00:00+00:00;;17915;m3;CONSOMMATION GAZ 1;ETUVE 1;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-17T18:00:00+00:00;ETUVE 1-2021-05-17T18:00:00+00:00;17915;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;18;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622228;CONSOMMATION;CARTOL;2021-05-17T18:00:00+00:00;;2989;m3;CONSOMMATION GAZ 1;RETOUCHES;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T18:00:00+00:00;RETOUCHES-2021-05-17T18:00:00+00:00;2989;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;18;False;0.0;23
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-17T18:00:00+00:00;;480;m3;CONSOMMATION GAZ 1;ETUVE 80°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-17T18:00:00+00:00;ETUVE 80°C RALLONGE-2021-05-17T18:00:00+00:00;480;0.0;1000;0.0;0.0;0.0;Hiver;2021-05;1;18;False;0.0;23
