date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-18T04:00:00+00:00;;480;m3;CONSOMMATION GAZ 1;ETUVE 80°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T04:00:00+00:00;ETUVE 80°C RALLONGE-2021-05-18T04:00:00+00:00;;;1000;;;;Hiver;2021-05;2;4;False;0.0;20
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-18T04:00:00+00:00;;1236;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T04:00:00+00:00;ETUVE 180°C RALLONGE-2021-05-18T04:00:00+00:00;;;1000;;;;Hiver;2021-05;2;4;False;0.0;20
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-18T05:00:00+00:00;;480;m3;CONSOMMATION GAZ 1;ETUVE 80°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T05:00:00+00:00;ETUVE 80°C RALLONGE-2021-05-18T05:00:00+00:00;;;1000;;;;Hiver;2021-05;2;5;False;0.0;20
2021-05-18;OK;AKAJOULE;POINT 10 MIN;12346609;AUTRES;CARTOL;2021-05-18T09:00:00+00:00;;15;°C;TEMPERATURE;SOUS LE PORCHE;Sous-compteur;Température;TEMPERATURE;2021-05-18T09:00:00+00:00;SOUS LE PORCHE-2021-05-18T09:00:00+00:00;;;1000;;;;Hiver;2021-05;2;9;False;0.0;20
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622183;CONSOMMATION;CARTOL;2021-05-18T09:00:00+00:00;;94407;m3;CONSOMMATION GAZ 1;CHAUDIERE CATAPHORESE;Sous-compteur;Gaz;DEPART CATAPHORESE;2021-05-18T09:00:00+00:00;CHAUDIERE CATAPHORESE-2021-05-18T09:00:00+00:00;;;1000;;;;Hiver;2021-05;2;9;False;0.0;20
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622219;CONSOMMATION;CARTOL;2021-05-18T09:00:00+00:00;;0;m3;CONSOMMATION GAZ 1;GDFA100;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T09:00:00+00:00;GDFA100-2021-05-18T09:00:00+00:00;;;1000;;;;Hiver;2021-05;2;9;False;0.0;20
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622223;CONSOMMATION;CARTOL;2021-05-18T09:00:00+00:00;;18765;m3;CONSOMMATION GAZ 1;GDFA400;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T09:00:00+00:00;GDFA400-2021-05-18T09:00:00+00:00;;;1000;;;;Hiver;2021-05;2;9;False;0.0;20
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-18T09:00:00+00:00;;480;m3;CONSOMMATION GAZ 1;ETUVE 80°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T09:00:00+00:00;ETUVE 80°C RALLONGE-2021-05-18T09:00:00+00:00;;;1000;;;;Hiver;2021-05;2;9;False;0.0;20
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622230;CONSOMMATION;CARTOL;2021-05-18T09:00:00+00:00;;1250;m3;CONSOMMATION GAZ 2;ETUVE 180°C RALLONGE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T09:00:00+00:00;ETUVE 180°C RALLONGE-2021-05-18T09:00:00+00:00;;;1000;;;;Hiver;2021-05;2;9;False;0.0;20
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622237;CONSOMMATION;CARTOL;2021-05-18T09:00:00+00:00;;17492;m3;CONSOMMATION GAZ 1;ETUVE 80°C PRINCIPALE;Sous-compteur;Gaz;DEPART PEINTURE;2021-05-18T09:00:00+00:00;ETUVE 80°C PRINCIPALE-2021-05-18T09:00:00+00:00;;;1000;;;;Hiver;2021-05;2;9;False;0.0;20
