date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-05-17;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-05-17T21:00:00+00:00;;100990;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-05-17T21:00:00+00:00;GENERAL PEINTURE-2021-05-17T21:00:00+00:00;;;0.0;1000;;;;Hiver;2021-05;1;23;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T22:10:00+00:00;;1908860;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T22:10:00+00:00;POSTE HT-2021-05-17T22:10:00+00:00;1908900;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;1;0;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T22:20:00+00:00;;1908900;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T22:20:00+00:00;POSTE HT-2021-05-17T22:20:00+00:00;1908940;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;1;0;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T22:40:00+00:00;;1908980;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T22:40:00+00:00;POSTE HT-2021-05-17T22:40:00+00:00;1909020;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;1;0;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T22:50:00+00:00;;1909020;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T22:50:00+00:00;POSTE HT-2021-05-17T22:50:00+00:00;;;;1850;;;;Hiver;2021-05;1;0;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-05-17T22:00:00+00:00;;100990;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-05-17T22:00:00+00:00;GENERAL PEINTURE-2021-05-17T22:00:00+00:00;;;0.0;1000;;;;Hiver;2021-05;1;0;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T23:10:00+00:00;;1909100;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T23:10:00+00:00;POSTE HT-2021-05-17T23:10:00+00:00;1909100;0.0;0.0;1850;0.0;0.0;0.0;Hiver;2021-05;1;1;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T23:40:00+00:00;;1909180;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T23:40:00+00:00;POSTE HT-2021-05-17T23:40:00+00:00;1909220;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;1;1;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-17T23:50:00+00:00;;1909220;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-17T23:50:00+00:00;POSTE HT-2021-05-17T23:50:00+00:00;;;;1850;;;;Hiver;2021-05;1;1;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-05-17T23:00:00+00:00;;100990;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-05-17T23:00:00+00:00;GENERAL PEINTURE-2021-05-17T23:00:00+00:00;;;0.0;1000;;;;Hiver;2021-05;1;1;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T01:00:00+00:00;;1909520;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T01:00:00+00:00;POSTE HT-2021-05-18T01:00:00+00:00;;;;1850;;;;Hiver;2021-05;2;3;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T01:20:00+00:00;;1909600;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T01:20:00+00:00;POSTE HT-2021-05-18T01:20:00+00:00;;;;1850;;;;Hiver;2021-05;2;3;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T01:30:00+00:00;;1909600;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T01:30:00+00:00;POSTE HT-2021-05-18T01:30:00+00:00;;;;1850;;;;Hiver;2021-05;2;3;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T01:40:00+00:00;;1909650;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T01:40:00+00:00;POSTE HT-2021-05-18T01:40:00+00:00;;;;1850;;;;Hiver;2021-05;2;3;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T02:30:00+00:00;;1909870;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T02:30:00+00:00;POSTE HT-2021-05-18T02:30:00+00:00;1909910;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;2;4;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T02:40:00+00:00;;1909910;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T02:40:00+00:00;POSTE HT-2021-05-18T02:40:00+00:00;1909960;50.0;300.0;1850;50.0;50.0;5.1;Hiver;2021-05;2;4;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-05-18T02:00:00+00:00;;121751;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-05-18T02:00:00+00:00;GENERAL CATAPHORESE-2021-05-18T02:00:00+00:00;;;0.0;1000;;;;Hiver;2021-05;2;4;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T03:10:00+00:00;;1910060;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T03:10:00+00:00;POSTE HT-2021-05-18T03:10:00+00:00;1910110;50.0;300.0;1850;50.0;50.0;5.1;Hiver;2021-05;2;5;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T03:20:00+00:00;;1910110;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T03:20:00+00:00;POSTE HT-2021-05-18T03:20:00+00:00;1910110;0.0;0.0;1850;0.0;0.0;0.0;Hiver;2021-05;2;5;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-05-18T03:00:00+00:00;;121751;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-05-18T03:00:00+00:00;GENERAL CATAPHORESE-2021-05-18T03:00:00+00:00;;;0.0;1000;;;;Hiver;2021-05;2;5;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T04:10:00+00:00;;1910360;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T04:10:00+00:00;POSTE HT-2021-05-18T04:10:00+00:00;;;;1850;;;;Hiver;2021-05;2;6;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T04:30:00+00:00;;1910540;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T04:30:00+00:00;POSTE HT-2021-05-18T04:30:00+00:00;;;;1850;;;;Hiver;2021-05;2;6;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T06:00:00+00:00;;1911520;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T06:00:00+00:00;POSTE HT-2021-05-18T06:00:00+00:00;1911690;170.0;1020.0;1850;170.0;170.0;17.34;Hiver;2021-05;2;8;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T06:20:00+00:00;;1911870;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T06:20:00+00:00;POSTE HT-2021-05-18T06:20:00+00:00;1912050;180.0;1080.0;1850;180.0;180.0;18.36;Hiver;2021-05;2;8;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T06:30:00+00:00;;1912050;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T06:30:00+00:00;POSTE HT-2021-05-18T06:30:00+00:00;1912230;180.0;1080.0;1850;180.0;180.0;18.36;Hiver;2021-05;2;8;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-05-18T06:00:00+00:00;;121751;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-05-18T06:00:00+00:00;GENERAL CATAPHORESE-2021-05-18T06:00:00+00:00;;;0.0;1000;;;;Hiver;2021-05;2;8;False;0.0;14
2021-05-18;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-18T05:00:00+00:00;;1910820;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-18T05:00:00+00:00;POSTE HT-2021-05-18T05:00:00+00:00;1910910;90.0;540.0;1850;90.0;90.0;9.18;Hiver;2021-05;2;7;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-11T22:50:00+00:00;;1864790;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-11T22:50:00+00:00;POSTE HT-2021-05-11T22:50:00+00:00;1864830;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;2;0;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 60 MIN;11622218;CONSOMMATION;CARTOL;2021-05-11T22:00:00+00:00;;99155;m3;CONSOMMATION GAZ 1;GENERAL PEINTURE;Compteur général;Gaz;DEPART PEINTURE;2021-05-11T22:00:00+00:00;GENERAL PEINTURE-2021-05-11T22:00:00+00:00;99156;1.0;0.0;1000;23.646;21.302702702702703;0.910371;Hiver;2021-05;2;0;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-11T23:20:00+00:00;;1864910;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-11T23:20:00+00:00;POSTE HT-2021-05-11T23:20:00+00:00;1864940;30.0;180.0;1850;30.0;30.0;3.0599999999999996;Hiver;2021-05;2;1;False;0.0;14
2021-05-12;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-05-11T23:50:00+00:00;;1865020;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-05-11T23:50:00+00:00;POSTE HT-2021-05-11T23:50:00+00:00;1865060;40.0;240.0;1850;40.0;40.0;4.08;Hiver;2021-05;2;1;False;0.0;14
