date_recuperation;etat_mesure;source;type_mesure;pce;nature_mesure;emplacement;horodatage_debut;horodatage_fin;valeur;unite;vecteur;observation;architecture_compteur;energie;architecture_gaz;joint_horodatage;joint_horodatage2;index;consommation;puissance;puissance_souscrite;consommation_pcs;consommation_pci;facture;saison;mois;numero_jour_semaine;heure;condition_weekend;weekend;maj
2021-04-27;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-04-27T09:00:00+00:00;;112029;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-04-27T09:00:00+00:00;GENERAL CATAPHORESE-2021-04-27T09:00:00+00:00;112029;0.0;0.0;1000;0.0;0.0;0.0;Hiver;2021-04;2;11;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T11:20:00+00:00;;1711530;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T11:20:00+00:00;POSTE HT-2021-04-27T11:20:00+00:00;1711670;140.0;840.0;1850;140.0;140.0;14.28;Hiver;2021-04;2;13;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T11:50:00+00:00;;1711670;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T11:50:00+00:00;POSTE HT-2021-04-27T11:50:00+00:00;1712090;420.0;2520.0;1850;420.0;420.0;42.839999999999996;Hiver;2021-04;2;13;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-04-27T11:00:00+00:00;;112029;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-04-27T11:00:00+00:00;GENERAL CATAPHORESE-2021-04-27T11:00:00+00:00;112029;0.0;0.0;1000;0.0;0.0;0.0;Hiver;2021-04;2;13;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T12:10:00+00:00;;1712230;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T12:10:00+00:00;POSTE HT-2021-04-27T12:10:00+00:00;1712230;0.0;0.0;1850;0.0;0.0;0.0;Hiver;2021-04;2;14;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T12:40:00+00:00;;1712650;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T12:40:00+00:00;POSTE HT-2021-04-27T12:40:00+00:00;1712790;140.0;840.0;1850;140.0;140.0;14.28;Hiver;2021-04;2;14;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T13:50:00+00:00;;1713480;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T13:50:00+00:00;POSTE HT-2021-04-27T13:50:00+00:00;1713480;0.0;0.0;1850;0.0;0.0;0.0;Hiver;2021-04;2;15;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T14:20:00+00:00;;1713900;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T14:20:00+00:00;POSTE HT-2021-04-27T14:20:00+00:00;1714030;130.0;780.0;1850;130.0;130.0;13.26;Hiver;2021-04;2;16;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T14:50:00+00:00;;1714030;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T14:50:00+00:00;POSTE HT-2021-04-27T14:50:00+00:00;1714430;400.0;2400.0;1850;400.0;400.0;40.8;Hiver;2021-04;2;16;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-04-27T14:00:00+00:00;;112029;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-04-27T14:00:00+00:00;GENERAL CATAPHORESE-2021-04-27T14:00:00+00:00;112029;0.0;0.0;1000;0.0;0.0;0.0;Hiver;2021-04;2;16;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T16:00:00+00:00;;1714820;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T16:00:00+00:00;POSTE HT-2021-04-27T16:00:00+00:00;1714870;50.0;300.0;1850;50.0;50.0;5.1;Hiver;2021-04;2;18;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T16:30:00+00:00;;1714980;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T16:30:00+00:00;POSTE HT-2021-04-27T16:30:00+00:00;1714980;0.0;0.0;1850;0.0;0.0;0.0;Hiver;2021-04;2;18;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T16:40:00+00:00;;1714980;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T16:40:00+00:00;POSTE HT-2021-04-27T16:40:00+00:00;1715090;110.0;660.0;1850;110.0;110.0;11.219999999999999;Hiver;2021-04;2;18;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 60 MIN;11622178;CONSOMMATION;CARTOL;2021-04-27T16:00:00+00:00;;112029;m3;CONSOMMATION GAZ 1;GENERAL CATAPHORESE;Compteur général;Gaz;DEPART CATAPHORESE;2021-04-27T16:00:00+00:00;GENERAL CATAPHORESE-2021-04-27T16:00:00+00:00;112029;0.0;0.0;1000;0.0;0.0;0.0;Hiver;2021-04;2;18;False;0.0;17
2021-04-27;OK;AKAJOULE;POINT 10 MIN;21320132;CONSOMMATION;CARTOL;2021-04-27T17:40:00+00:00;;1715300;kWh;ENERGIE ACTIVE;POSTE HT;Compteur général;Électricité;POSTE HT;2021-04-27T17:40:00+00:00;POSTE HT-2021-04-27T17:40:00+00:00;1715350;50.0;300.0;1850;50.0;50.0;5.1;Hiver;2021-04;2;19;False;0.0;17
